Date,Account,Category,Description,Amount,Type
2025-01-21,Credit Card,Revenue,Commission Earned,8044,Income
2025-01-22,Accounts Receivable,Expense,Utilities,-4489,Expense
2025-02-13,Accounts Receivable,Expense,Utilities,-3195,Expense
2025-03-26,Accounts Payable,Revenue,Commission Earned,4123,Income
2025-03-23,Accounts Receivable,Revenue,Product Sales,8756,Income
2025-03-16,Cash,Revenue,Product Sales,7955,Income
2025-01-30,Cash,Revenue,Commission Earned,5593,Income
2025-03-05,Bank,Expense,Rent,-1733,Expense
2025-04-28,Accounts Receivable,Revenue,Product Sales,1926,Income
2025-02-12,Cash,Revenue,Commission Earned,8311,Income
2025-03-04,Credit Card,Expense,Travel,-2714,Expense
2025-03-14,Accounts Payable,Expense,Salaries,-937,Expense
2025-04-05,Cash,Revenue,Service Fee,1687,Income
2025-03-09,Credit Card,Revenue,Consulting Income,4770,Income
2025-04-19,Credit Card,Revenue,Service Fee,3886,Income
2025-01-26,Bank,Expense,Marketing Expenses,-4326,Expense
2025-04-20,Cash,Revenue,Commission Earned,3022,Income
2025-04-28,Bank,Revenue,Consulting Income,2005,Income
2025-01-14,Cash,Revenue,Subscription Revenue,7998,Income
2025-03-22,Accounts Payable,Expense,Utilities,-1663,Expense
2025-02-03,Cash,Revenue,Consulting Income,4654,Income
2025-03-26,Credit Card,Expense,Rent,-2747,Expense
2025-04-09,Bank,Revenue,Service Fee,3114,Income
2025-04-13,Accounts Payable,Expense,Utilities,-734,Expense
2025-04-05,Bank,Expense,Utilities,-2974,Expense
2025-01-04,Credit Card,Revenue,Product Sales,9127,Income
2025-02-16,Cash,Revenue,Subscription Revenue,6885,Income
2025-02-27,Credit Card,Expense,Salaries,-3893,Expense
2025-01-07,Bank,Revenue,Commission Earned,8962,Income
2025-01-18,Accounts Payable,Revenue,Consulting Income,6725,Income
2025-01-11,Credit Card,Revenue,Product Sales,4895,Income
2025-01-08,Cash,Expense,Office Supplies,-1599,Expense
2025-03-22,Credit Card,Revenue,Service Fee,5159,Income
2025-01-17,Bank,Revenue,Service Fee,4193,Income
2025-01-27,Accounts Receivable,Expense,Marketing Expenses,-2805,Expense
2025-04-15,Cash,Expense,Travel,-2607,Expense
2025-02-18,Accounts Receivable,Revenue,Subscription Revenue,5060,Income
2025-03-21,Bank,Expense,Office Supplies,-3978,Expense
2025-03-05,Accounts Payable,Expense,Salaries,-946,Expense
2025-01-03,Credit Card,Expense,Insurance,-1364,Expense
2025-01-05,Credit Card,Expense,Travel,-3693,Expense
2025-04-18,Credit Card,Revenue,Service Fee,7816,Income
2025-01-21,Cash,Expense,Utilities,-4622,Expense
2025-02-08,Cash,Revenue,Service Fee,2892,Income
2025-01-18,Cash,Revenue,Service Fee,6217,Income
2025-03-19,Bank,Revenue,Service Fee,1219,Income
2025-04-23,Accounts Receivable,Revenue,Commission Earned,3164,Income
2025-04-28,Cash,Expense,Insurance,-1239,Expense
2025-01-13,Credit Card,Expense,Travel,-4556,Expense
2025-01-31,Accounts Receivable,Expense,Travel,-1638,Expense
2025-03-03,Credit Card,Expense,Insurance,-1853,Expense
2025-04-14,Bank,Expense,Insurance,-4021,Expense
2025-01-15,Bank,Expense,Office Supplies,-3734,Expense
2025-02-26,Credit Card,Expense,Office Supplies,-1298,Expense
2025-03-15,Accounts Payable,Expense,Salaries,-460,Expense
2025-02-09,Accounts Payable,Revenue,Service Fee,4336,Income
2025-04-19,Accounts Payable,Expense,Utilities,-4978,Expense
2025-01-02,Bank,Revenue,Commission Earned,5567,Income
2025-02-03,Accounts Receivable,Revenue,Service Fee,9095,Income
2025-03-27,Accounts Payable,Expense,Utilities,-1640,Expense
2025-02-19,Accounts Receivable,Revenue,Subscription Revenue,5136,Income
2025-03-04,Accounts Receivable,Expense,Office Supplies,-1569,Expense
2025-04-05,Accounts Receivable,Revenue,Consulting Income,977,Income
2025-01-11,Accounts Receivable,Expense,Salaries,-2778,Expense
2025-01-21,Credit Card,Revenue,Service Fee,7299,Income
2025-02-19,Bank,Revenue,Service Fee,8355,Income
2025-01-30,Credit Card,Revenue,Consulting Income,9906,Income
2025-02-09,Credit Card,Revenue,Subscription Revenue,5316,Income
2025-01-22,Bank,Revenue,Service Fee,2934,Income
2025-01-25,Cash,Revenue,Service Fee,4377,Income
2025-04-08,Accounts Receivable,Expense,Utilities,-3831,Expense
2025-02-11,Cash,Revenue,Commission Earned,6498,Income
2025-03-01,Accounts Payable,Expense,Travel,-610,Expense
2025-04-26,Bank,Revenue,Service Fee,3695,Income
2025-01-07,Cash,Expense,Marketing Expenses,-364,Expense
2025-01-08,Accounts Receivable,Revenue,Subscription Revenue,1983,Income
2025-03-20,Accounts Payable,Expense,Marketing Expenses,-3620,Expense
2025-04-19,Credit Card,Revenue,Consulting Income,5336,Income
2025-03-23,Bank,Revenue,Commission Earned,7918,Income
2025-03-31,Credit Card,Expense,Office Supplies,-1188,Expense
2025-01-01,Bank,Expense,Insurance,-486,Expense
2025-01-18,Accounts Payable,Expense,Utilities,-143,Expense
2025-01-23,Accounts Payable,Revenue,Service Fee,5193,Income
2025-01-02,Bank,Expense,Insurance,-4622,Expense
2025-04-09,Bank,Expense,Office Supplies,-1540,Expense
2025-02-28,Accounts Receivable,Expense,Salaries,-1180,Expense
2025-01-28,Credit Card,Expense,Marketing Expenses,-3127,Expense
2025-01-29,Accounts Payable,Revenue,Service Fee,7275,Income
2025-01-17,Accounts Receivable,Revenue,Service Fee,8033,Income
2025-02-02,Credit Card,Expense,Utilities,-620,Expense
2025-04-18,Accounts Receivable,Expense,Rent,-1137,Expense
2025-04-18,Accounts Receivable,Revenue,Commission Earned,4603,Income
2025-02-14,Cash,Expense,Salaries,-2763,Expense
2025-03-08,Bank,Revenue,Subscription Revenue,9391,Income
2025-03-31,Bank,Revenue,Subscription Revenue,6773,Income
